,Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Company,Status,Latitude,Approximate Volume Released (m3),Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program,Longitude,Release of substance,Alberta,Manitoba,British Columbia,Saskatchewan,Ontario,New Brunswick,Nova Scotia,Quebec,Northwest Territories,Natural,Unknown Land,Forests,Industrial,Agricultural Cropland,Shrub Land,Vegetative Barren,Tundra / Native Prairie / Parks,Barren Land,Small Commeicial,Water / Wetlands,Residential,Frost heave,Freeze-thaw,Frozen components,Soil/Slope,High winds,Rains/Floods,Adverse weather,Month of occurrence,Spring,Summer,Fall,Winter
0,INC2008-001,Release of Substance,1/2/2008,Cromer,Enbridge Pipelines Inc.,Closed,49.73135,8,Crude Oil - Sweet,Liquid,No,2008,2008-01-02,2008/01/02 11:30:00 AM Central,,,Operation,Employee / Contractor (Onsite),1/11/2011,Yes,No,Crude Oil - Sweet,8,No,No,,,,,,,,,,,0,OPR,EPI - Cromer Terminal,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Pumping, Flange, Gasket/O-ring",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Type B Sleeve (Pressure Containing),1/11/2008,No,,,No,No,1/11/2008,Repair,No,-101.23557,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,INC2008-004,Release of Substance,1/23/2008,Cromer,Enbridge Pipelines Inc.,Closed,49.73135,100,Crude Oil - Sweet,Liquid,No,2008,2008-01-23,2008/01/23 06:05:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),8/10/2011,Yes,No,Crude Oil - Sweet,100,No,No,,,,,,,,,,,0,OPR,EPI - Cromer Terminal,,,,,,,,Canada,Yes,No,No,No,0,Mile Post 595.8,Level I,Standard Review - 168 days,No,,"Station/Facility, Pumping, Flange, Gasket/O-ring",,NPS 30,,,,,,,0,,,,,,,,,,,,,,,,,,No,Replacement,1/24/2008,No,,,No,No,,Replacement,No,-101.23557,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,INC2008-008,Release of Substance,1/29/2008,Fort Nelson,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.012,0,Natural Gas - Sweet,Gas,No,2008,2008-01-26,2008/01/26 10:45:00 AM Pacific,,,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Flange",,,,,,,,,0,,,,1.2,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-122.694333,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,INC2008-009,"Release of Substance, Adverse Environmental Effects",1/29/2008,Taylor,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14377,0,Potassium Hydroxide (caustic solution),Miscellaneous,Yes,2008,2008-01-27,2008/01/27 12:01:00 AM Mountain,,,Operation,,11/13/2012,Yes,No,Potassium Hydroxide (caustic solution),0,No,Yes,,,,,,,,,,,0,PPR,,,,,,,,,Canada,No,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-120.51605,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,INC2008-016,Release of Substance,2/23/2008,Beiseker,Foothills Pipe Lines Ltd.,Closed,51.385029,0,Natural Gas - Sweet,Gas,No,2008,2008-02-22,2008/02/23 12:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,0,Mainline Valve + Offset (km) MLV 61-121-NC,Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Ball, Bonnet",,NPS 30,,,,,,,0,,,,,,,,,,,,,,,,,,No,Rebuilt,3/25/2008,No,,,No,No,3/25/2008,Repair,No,-113.535263,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
5,INC2008-018,Release of Substance,2/25/2008,Moosomin,TransCanada PipeLines Limited,Closed,50.20739,100,Natural Gas - Sweet,Gas,No,2008,2008-02-25,2008/02/25 08:09:00 AM Mountain,,,Construction,Employee / Contractor (Onsite),1/19/2011,Yes,No,Natural Gas - Sweet,100,No,No,,,,,,,,,,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Tee, Body",,NPS 1/4,,,,,,,0,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-101.48731,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
6,INC2008-020,Release of Substance,3/3/2008,Dryden,TransCanada PipeLines Limited,Closed,49.7894,0,Natural Gas - Sweet,Gas,No,2008,2008-03-02,2008/03/02 10:30:00 AM Eastern,,,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,TCPL - Station 55 (Dryden Compressor Station),,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Compressor",,,,,,,,,0,,,,,,,,,,,,,,,,,,No,Replacement,3/13/2008,No,,,No,No,3/13/2008,Replacement,No,-92.76549,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
7,INC2008-021,Release of Substance,3/3/2008,Smooth Rock Falls,TransCanada PipeLines Limited,Closed,49.30391,18,Natural Gas - Sweet,Gas,No,2008,2008-03-01,2008/03/01 04:45:00 PM Mountain,,,Operation,Public,1/19/2011,No,No,Natural Gas - Sweet,18,No,No,,,,,,,,,,,0,OPR,TCPL - MLV 97,,,,,,,,Canada,No,No,Yes,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-82.04386,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
8,INC2008-027,Release of Substance,3/14/2008,Rapid City,TransCanada PipeLines Limited,Closed,50.07673,0,Natural Gas - Sweet,Gas,No,2008,2008-03-14,2008/03/14 01:30:00 PM Central,,,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,MLV 30-4,,,,,,,,Canada,Yes,No,No,No,0,Mainline Valve + Offset (km) 30-4,Level I,Standard Review - 168 days,No,,"Pipeline, Pipe, Body;Station/Facility, Compression, Piping, Weld",,NPS 2,,,,,,,0,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-99.99864,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
9,INC2008-034,Release of Substance,4/1/2008,Haileybury,TransCanada PipeLines Limited,Closed,47.44678,0,Natural Gas - Sweet,Gas,No,2008,,2008/03/31 01:17:00 AM Mountain,,Transmission,Construction,,7/23/2012,No,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,No,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Fitting, Other (please explain)",,NPS 1,,,,,,,0,,,,,,,,,,,,,,,,,,No,Replacement,9/21/2008,No,,,No,No,9/21/2008,Replacement,No,-79.76267,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
