,Event Number,Occurred/Discovered Date and Time,Product Category,Product Type,Volume Released,Latitude,Longitude,Gas,Liquid,Miscellaneous,Amine,Butane,Condensate,Contaminated Water,Crude Oil - Sour,Crude Oil - Sweet,Crude Oil - Synthetic,Diesel Fuel,Drilling Fluid,Fuel Gas,Gasoline,Glycol,Hydrogen Sulphide,Jet Fuel,Lube Oil,Mixed HVP Hydrocarbons,Natural Gas - Sour,Natural Gas - Sweet,Natural Gas Liquids,Odourant,Potassium Carbonate,Potassium Hydroxide (caustic solution),Produced Water,Propane,Pulp slurry,Sulphur,Sulphur Dioxide,Waste Oil,Water
712,INC2020-005,2020-01-20 09:51:00,Liquid,Condensate,26.0,52.14173322,-109.8129918,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,INC2015-109,2015-09-16 07:53:00,Gas,Natural Gas Liquids,0.0076,49.749362,-101.244345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,INC2010-051,2010-05-22 02:00:00,Gas,Natural Gas - Sweet,1.0,57.19361,-118.20534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
682,INC2018-139,2018-10-05 01:40:00,Gas,Natural Gas - Sweet,607.13,50.30496,-112.09675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
422,INC2014-064,2014-04-30 11:20:00,Miscellaneous,Amine,6.5,58.653246,-122.684823,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,INC2016-107,2016-09-03 12:36:00,Gas,Natural Gas - Sweet,1.0,49.443028,-91.714439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
516,INC2015-123,2015-10-29 02:00:00,Gas,Natural Gas - Sweet,1.0,57.3426,-111.74337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385,INC2013-161,2013-11-25 11:40:00,Liquid,Crude Oil - Sweet,2.25,53.307156,-113.511011,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,INC2020-057,2020-06-12 11:23:00,Liquid,Crude Oil - Sweet,150.0,49.06567935,-122.1597143,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,INC2017-035,2017-03-04 10:00:00,Miscellaneous,Hydrogen Sulphide,0.59,55.56909171,-121.9446616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,INC2013-096,2013-06-19 12:15:00,Gas,Natural Gas - Sweet,5000.0,50.480661,-105.867038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
387,INC2013-164,2013-12-01 09:50:00,Liquid,Crude Oil - Sweet,12.0,53.544543,-113.360195,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,INC2019-089,2019-08-08 05:00:00,Gas,Natural Gas - Sour,155958.38,58.6527,-122.7042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
429,INC2014-078,2014-06-01 11:50:00,Gas,Natural Gas - Sweet,160000.0,53.818798,-113.584867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
335,INC2013-041,2013-03-07 04:30:00,Gas,Natural Gas - Sweet,0.0001,49.681165,-95.374581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
457,INC2014-155,2014-12-23 06:00:00,Gas,Natural Gas - Sweet,0.01,49.79171,-94.49432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,INC2011-114,2011-08-04 09:30:00,Gas,Natural Gas - Sweet,934.0,44.648901,-63.575335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
572,INC2016-120,2016-10-05 04:00:00,Gas,Natural Gas - Sweet,342.0,51.599421,-114.244235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
525,INC2015-144,2015-12-11 10:00:00,Gas,Natural Gas - Sweet,1.0,49.72011504,-96.98386154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
718,INC2020-043,2020-04-26 08:34:00,Gas,Natural Gas - Sweet,1.0,56.7054,-111.403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,INC2011-004,2011-01-12 02:00:00,Gas,Natural Gas - Sweet,192.0,46.84822454,-79.8090245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
551,INC2016-066,2016-06-16 08:00:00,Miscellaneous,Contaminated Water,725.0,55.56909171,-121.9446616,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,INC2008-004,2008-01-23 06:05:00,Liquid,Crude Oil - Sweet,100.0,49.73135,-101.23557,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,INC2020-016,2020-02-07 10:30:00,Gas,Natural Gas - Sweet,0.1,53.198483,-116.192766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
278,INC2012-081,2012-06-28 10:57:00,Gas,Natural Gas - Sweet,955000.0,57.06925,-121.63939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
